definition,answer,occurrences,example_clue,approve
legal expression,HABEASCORPUS,1,"""Hubcaps are so original"" (legal expression)",
legal expression,OBITERDICTUM,1,"""Time bid to go with court action"" (legal expression)",
legal impediment,ESTOPPEL,1,Legal impediment lets Pope off,
legal obligation,DUTYOFCARE,1,Factory due to review legal obligation,
legendary cycle given,LE MORTE D'ARTHUR,1,Legendary cycle given rewrite tortured Mahler,
legwear,THIGH BOOTS,1,Big shot with hotshot legwear,
legwork,AMBULATION,1,"Legwork of aunt, a limbo dancer",
leisure,SPARETIME,1,Tempera is mixed at leisure,
lengthwise,LONGITUDINALLY,1,Turn gold inlay until lengthwise,
lengthy trial,THREE-DAY EVENT,1,They venerated criminal in lengthy trial,
leo,SIGNOFTHEZODIAC,1,"Frisky echidna, zoo's gift for Leo?",
less serious,OPERETTAS,1,Less serious works of kind poet rates poorly,
less than fatal,SUBLETHAL,1,"Bullet has done damage, less than fatal",
lesser importance,SIDEISSUE,1,Susie dies foolishly for a matter of lesser importance,
lessons learned when,EDUCATION,1,Lessons learned when wrongly cautioned,
lethal agent,DOUBLEOSEVEN,1,"Unloved, obese revolutionary is a lethal agent",
letter,V-SHAPED,1,Eva's PhD dispatched in the form of a letter,
letting anyone get cross,ABSTAINING,1,Santa in big buggy not letting anyone get cross?,
letting one,BREAKINGWIND,1,"Letting one rip braiding, knew errors",
leveller,NAILSET,1,Leveller reforms salient,
liberate,UNLOOSE,1,Liberate one soul in torment,
licence,POETIC,1,Licence to mix with epic,
licensed church official,LAY READER,1,Rare delay unsettled licensed church official,
lie,IMBRICATE,1,Lie over crime a bit cunningly,
life,DAPHNIA,1,An aphid developed from pond life,
life-changing substance,MUTAGEN,1,Augment supply for life-changing substance,
lifesaver,PARAMEDIC,1,Epic drama about a lifesaver,
life-savers,IRONLUNGS,1,Training run is long for life-savers,
lift,BACKGROUND MUSIC,1,Sourcing bad muck to be broadcast in a lift?,
light blocked,SUNCREAM,1,Light blocked with this cures man in a bad way,
light clothing,SAFARISUIT,1,Light clothing from Asia. Fruits served,
lightning,THUNDERSTROKE,1,From other end Turks produced blast of lightning,
like,THUGGISH,1,Like a rough gust high on the rocks,
like,ONE-DIMENSIONAL,1,"Like a line that goes straight? No main line does, sadly",
like,NOBELLAUREATE,1,"Like Euler, a notable original!",
like,ESOTERIC,1,"Like coteries, perhaps?",
like 16,SLITHER,1,Hitler’s deranged move like 16,
like attractive accounts when,HIGHINTEREST,1,Like attractive accounts when entire thigh’s displayed,
like billy elliot,EPONYMOUS,1,Mosey on up to dance like Billy Elliot,
like borg,SPORTSMAN,1,Tramp's son playing like Borg?,
"like celebrity, observed",NOTED,1,"Like celebrity, observed to end badly",
like certain dictionaries,BILINGUAL,1,"Like certain dictionaries, all big, uni ordered",
like certain writing,EPISTOLARY,1,"Like certain writing from Italy, prose that's fancy",
like drysuits,WATER-REPELLENT,1,"Peter, Len and Walter, swimming, like drysuits",
like e.g. thomas,SCEPTICAL,1,Like e.g. Thomas Cook plc – it's ace!,
like geese,ANSERINE,1,"Like geese I ensnare, in a flap",
like george iii,HANOVERIAN,1,Ivanhoe ran amok like George III,
like heart,ATHROB,1,"Like heart of Hobart, potentially",
like judge's,SOBER,1,Like judge's robes to be disorderly,
like lady's protest,EXCESSIVE,1,Like lady's protest in play that confounds sexes with vice,
like living beings,ORGANISMAL,1,"Like living beings, so alarming somehow",
like lords wearing,ERMINED,1,Like lords wearing — er! — denim?,
like methuselah,OLDASTHEHILLS,1,Lots shall hide out like Methuselah,
like mocking humour,SATIRICAL,1,Like mocking humour misinterpreted as racialist,
like motorways affecting,ARTERIAL,1,Like motorways affecting rail rate,
like much broadcasting,TELEVISUAL,1,"Sadly values-lite, like much broadcasting",
like offspring's behaviour,DAUGHTERLY,1,Unnatural ugly hatred like offspring's behaviour,
like one,SARDONIC,1,Like one treating Ida with scorn?,
like our passports,BIOMETRIC,1,I come travelling with Brit and like our passports?,
like parrots,REPETITIONAL,1,Note: reptilia evolved like parrots,
"like phone bill, having",ITEMISED,1,"Like phone bill, having side organised with time?",
like popular rule,DEMOCRATIC,1,Free trade — comic like popular rule,
like port,FORTIFIED,1,Like port? I'd offer it stirred,
"like private eye, demolishing",SATIRICAL,1,"Like Private Eye, demolishing racialist",
like ralph rackstraw,GILBERTIAN,1,Curiously liberating — like Ralph Rackstraw?,
like schubert's,VIENNESE,1,"Like Schubert's rocking ""Seven"" in E",
like sheep,SHEARED,1,Like sheep are in a shed,
like some,SINUSOIDAL,1,Like some waves in turbulent sound I sail,
like some amusing drama,GILBERTIAN,1,"Like some amusing drama, can be strangely liberating",
like some ancient stone tools,NEOLITHIC,1,Like some ancient stone tools transported into Chile,
like some bacon,UNSMOKED,1,Like some bacon monk used in a stew,
like some coats,WIRE-HAIRED,1,"Sporting wear I'd hire, like some coats",
like some crisps,UNSALTED,1,Like some crisps? Nuts? Deal with change,
like some governement,FEDERAL,1,"Like some governement giving fear, led appallingly",
like some greyhounds,OCEAN-GOING,1,"In Congo, age dreadfully, like some greyhounds?",
like some logs,NAPIERIAN,1,Like some logs from a pine ruined by awful rain,
like some rugby matches,THIRTEENASIDE,1,"Like some Rugby matches I attend here, is mishandled",
like some sound,STEREOPHONIC,1,Like some sound that's unsettled Chinese troop,
like some spaniards having,ANDALUSIAN,1,Like some Spaniards having a change of land in USA,
like there's no tomorrow,APOCALYPTIC,1,A typical cop raging like there's no tomorrow!,
like what,TREATABLE,1,"Like what can be cured, cooked in ale batter?",
like winter,ANNUALISE,1,Line sauna roughly and make like winter?,
like words,PLENTIFUL,1,Like words from fluent lip,
like written,DOCUMENTAL,1,"Like written material, arranged in column with date",
likely heir,ELDEST SON,1,Likely heir to endless suffering,
likely winner,FORMHORSE,1,Likely winner bats for homers,
likeness,SELFPORTRAIT,1,Model sat for triple likeness,
limelight,CENTRE STAGE,1,Secret agent resolved to be in the limelight,
limestone scenery,KARST,1,Stark rocks in limestone scenery,
limit,OUTERMOST,1,Order more stout and that's the limit,
limited competition,TWO-HORSE RACE,1,Owe orchestra for playing in limited competition,
limited distance,SHORTRANGE,1,"Grant horse is running, but over a limited distance",
"limp (when pronounced, 24 26",CHOLMONDELEY,1,"My colonel, he'd limp (when pronounced, 24 26)",
lincoln,EMANCIPATOR,1,Operatic man travelling about Lincoln?,
line,NUMERATOR,1,Tourer man crashed over the line,
line across moon,TERMINATOR,1,Line across moon composed of iron matter,
lines up,ORIENTS,1,Lines up in store for special deal,
linguist,ARABIST,1,Linguist sat with a rib broken,
link,AIR BRIDGE,1,Brigadier bombs transport link,
linked,INTERDEPENDENT,1,Ended with pertinent broadcast that's linked,
lion tamer,ANDROCLES,1,Don clears misrepre-sented lion tamer,
"liquidated, questioning their gods",AGNOSTIC,1,"Incas got liquidated, questioning their gods?",
liquor,POTHEEN,1,Drunk? Open the liquor!,
lisa’s brother,BART,1,Lisa’s brother is a spoiled brat!,
list issuer,LLOYDS,1,"List issuer, sly old crook",
listening devices,PERSONALSTEREOS,1,Real snoopers set out listening devices,
literary,KING LEAR,1,Literary work e.g. Larkin composed,
literary colleges,ACADEMES,1,Made case out for literary colleges,
literary tiger uncommonly,SHEREKHAN,1,Literary tiger uncommonly harsh and keen,
lithography,TUSCHE,1,With this he cuts designs in lithography,
little,NUCLEI,1,Little bits involved in clue,
little air,ARIETTA,1,A change of attire for a little air,
little away,UNINFORMATIVE,1,Unusually furtive Minoan giving little away,
little bird,STONECHAT,1,Little bird worried cat. Honest!,
little chap outside,GARDENGNOME,1,"Barking dog with green man, funny little chap outside",
little cover,DESHABILLE,1,Shield able to provide little cover,
little digs,BEDSITTING ROOM,1,Upset dim goons with bitter little digs?,
little fellow's,LEPRECHAUN,1,Little fellow's arrangement to clean her up,
little furry animal,SABLE,1,Little furry animal wild in Basle,
little house,MAISONETTE,1,Little house on estate I'm developing,
little monkeys,MARMOSETS,1,Training some smart little monkeys,
live-in partner,ROOMMATE,1,Live-in partner giving me a motor,
living quarters,BIOSPHERES,1,Is posh beer brewed in living quarters?,
lizard,STEGOSAUR,1,Grouse sat around 'terrible lizard',
loathing,DESPISING,1,"Loathing pigs, Enid's going mad!",
lobbies,FOYERS,1,"Lobbies for ""yes"", perhaps",
local death,NECROSIS,1,Local death of Ericsson broadcast,
local ranch where,ESTANCIA,1,"Local ranch where Incas ate, perhaps",
locally sourced food,REDLEICESTER,1,Elder recites awfully locally sourced food?,
location,DISPLACEMENT,1,Enlisted with camp reorganised in movement to a different lo,
location,INSITU,1,Engineering unit is at original location,
locking device,DEADBOLT,1,High table with odd locking device,
lofty language,GRANDILOQUENCE,1,"Lofty language from Queen, racing old fancy?",
lofty range,FALSETTO,1,Lofty range of latest shifts,
lofty's,GRANDIOSE,1,Lofty's organised chaos,
logical,ARISTOTELIANISM,1,Logical philosophy MIT rationalises somehow,
london,WESTMINSTER,1,Times strewn about in part of London,
london,HAMPSTEAD,1,Paths made around an area of London,
london,THEBIGSMOKE,1,London and SE might be OK somehow,
london,PLAISTOW,1,Pilot was broadcast in London,
london theatre,COLISEUM,1,ELO music in play for London theatre,
london thoroughfare,EDGWAREROAD,1,Dear dowager newly settled in London thoroughfare,
london's skyline,EROTICGHERKIN,1,Design of king or heretic on London's skyline?,
long dead creatures,DINOSAURS,1,Long dead creatures do Russian dancing,
long digital,MIDDLE FINGER,1,Long digital film dealt unusually with gender ID,
long obscure words,SESQUIPEDALIAN,1,"Pasquale, inside working, using long obscure words",
long period inside,LIFE SENTENCE,1,Replace ten fleeces in long period inside,
long periods when,SOLARYEARS,1,Long periods when engineering salary rose,
long-dead roman,SENECA,1,Long-dead Roman disrupted seance,
long-distance travellers,ASTRONAUTS,1,Cook roasts tuna for long-distance travellers,
longed-for object,DESIDERATION,1,"Converted into a desired, longed-for object",
long-standing,OLDTIME,1,Long-standing model - and it worked,
look,TAKECAREOF,1,Look after cook after a coke,
look back,RETROSPECT,1,Look back from secret port,
look harder than,OUTSTARE,1,Look harder than statue or bust,
look up here,DICTIONARY,1,"Look up here, wandering in City Road",
lookout,CROWS-NEST,1,"Lookout cross, went mad",
lords,UPPERHOUSE,1,Lords push Europe out,
lord's,THROWING,1,Staggering growth in illegal delivery style at Lord's,
lose faith,LAPSE,1,Lose faith in pleas?,
losing interest,SWITCHING OFF,1,Losing interest with scoffing bananas,
lot,MATHEMATICIANS,1,"Developing match stamina, i.e. they work out a lot",
lot,NARROWLY,1,"Larry won somehow, but not by a lot",
love,APHRODITE,1,Love for other - other paid,
love divine,APHRODITE,1,Love divine if Oprah tied knot?,
love song,TILLTHEREWASYOU,1,What I resolutely composed is a love song,
love song,AMORET,1,Love song composed at Rome,
lovely,CHERUBIC,1,Lovely birch cue damaged,
lovely quality,PRETTINESS,1,"Persistent manoeuvres, lovely quality",
"loving ""star people",HEROWORSHIPPING,1,"""Careless Whisper""  hoping or loving ""Star People""?",
lower middle class,PETIT BOURGEOIS,1,Europe: its bigot surprisingly lower middle class,
lowering quality,ADULTERATING,1,"Poorly triangulated, lowering quality",
lowers,DAIRY CATTLE,1,Lowers crate idly at ground,
low-lying wetland,SALT MARSH,1,Developing harms last low-lying wetland,
l-shaped bar,ANGLEIRON,1,L-shaped bar in a longer form,
lung,RUS IN URBE,1,Lung? Unsure — rib possibly,
lupine character,ISENGRIM,1,Lupine character with fixed semi-grin,
luxury,OPULENTLY,1,Tune Polly played in luxury,
luxury one's allowed,INDULGENCE,1,"Clue ending with ""shift"", a luxury one's allowed",
lyrical poet,TROUBADOUR,1,Our bard out to reform lyrical poet,
machine,SPACECRAFT,1,RAF accepts new flying machine,
machine worker,ENGINEER,1,Machine worker in Greene novel,
made-to-measure,TAILORED,1,"Weirdly, retail do made-to-measure",
madras now,TAMILNADU,1,I'm an adult working in Madras now,
magazine,ESQUIRE,1,Queries resolved in magazine,
magnificent effect,GLORIOUSLY,1,"So, you grill bananas to magnificent effect?",
magnificent stuff,SPLENDOURS,1,"At sea, so plunders magnificent stuff",
magpie,KLEPTOMANIAC,1,Magpie trained to peck animal,
maiden,DRIER,1,Rider thrown off maiden,
main,ASHORE,1,Breaking a horse? Not in the main,
main platform,FORETOP,1,Main platform for performing poet,
main road,SPITHEAD,1,Side path turning into a main road,
maintaining radio silence,OFFTHEAIR,1,Maintaining radio silence? That’s working for a thief,
major success,SMASHHIT,1,His maths produces major success,
majority,LARGELY,1,Treatment of allergy for the majority,
making,SEXUAL,1,Making lax use of it,
making acceptable,LEGITIMATION,1,"Making acceptable gaol? In time, it collapses",
making aggressive threats,SABRERATTLING,1,Making aggressive threats sent Gibraltar wild,
making announcements,ORACLES,1,Carole's making announcements,
making appearance,DEMEANOUR,1,"Making appearance, strangely enamoured",
making big bloomer,WISTERIA,1,"Waiter is devastated, making big bloomer",
making bishops,CONSECRATIONS,1,Making bishops possibly snort cocaine’s absurd!,
making cuts,DELETIONS,1,"Tailor doesn’t lie, making cuts",
making drugs,BOTANICALS,1,Doctor in lab coat’s making drugs,
making home underwater,OYSTER-BED,1,"In a storm, do bees try making home underwater?",
making money,GAINFUL,1,Making money from a gulf in supply,
making money,RESOURCES,1,"Doctor cures sore, making money",
making more extensive,ELONGATION,1,"Making more extensive disorder in gaol, note",
making no sound,NOISELESS,1,Lionesses making no sound,
making progress,INROADS,1,"Making progress, ordains converts",
making repeated journeys between places,TOANDFRO,1,A Ford not involved in making repeated journeys between plac,
malagasy native's,TENREC,1,Malagasy native's refurbished centre,
maldivian,ISLANDER,1,"Maldivian, say, hammered red nails",
male attributes,ANDROGENIC,1,End organic modification of male attributes,
male columnists displaying,ATLANTES,1,Male columnists displaying a variety of talents?,
male expressions,WOLFWHISTLES,1,Few still show coarse male expressions,
male help,MANFRIDAY,1,If randy am desperate for male help,
male hormone,ANDROGEN,1,Male hormone changing organ end,
male/female,EVELYN,1,"Male/female, evenly distributed",
malfunctioning,DEMONSTRATE,1,Set out to mend taser that's malfunctioning,
mammal's,PILOTWHALE,1,Mammal's wail to help at sea,
man,OSWALD,1,"Man, old, was suffering",
man,SUPERHERO,1,Man from our sphere transformed?,
man,POSTMASTER,1,Man of letters maybe starts poem badly,
man behind bars,SCHUBERT,1,Man behind bars butchers butchered?,
man getting sack,FATHER CHRISTMAS,1,"Man getting sack, as if Mrs Thatcher could be bothered",
man still well,OSBERT,1,The shaken sorbet makes this man still well!,
man u,THOMAS,1,H A Most Peculiar Man u,
man who can't stand her,MISOGYNIST,1,Miss toying around with a man who can't stand her?,
manner,FURIOUSLY,1,Your flu is developing in a violent manner,
manner,SENILELY,1,Ley lines set out in a confused manner?,
manner,RESTYLED,1,Try Leeds converted generated new manner,
manner like boris johnson,HETEROSEXUAL,1,Use ox leather in a kinky manner like Boris Johnson?,
mannerisms,TRAITS,1,Mannerisms of eccentric artist,
man's arms,TRISKELIA,1,"Man's arms waving, astir like",
man's condition,GOD-FORSAKEN,1,"Man's condition after creation of gardens – OK, shattered",
manual labour,STONEMASONRY,1,Rough notes on army's type of manual labour,
manual worker,MASON,1,Manual worker moans terribly,
many dwell,STREET,1,Many dwell on this anagram made by setter,
many houses,TWO-STOREY,1,Toy towers rebuilt as many houses,
many years earlier,IRONAGE,1,A region cultivated many years earlier,
marauding crowds,HORDES,1,Marauding crowds ruining Rhodes,
marcel,PROUST,1,Marcel coming out of stupor,
marcel proust,AESTHETE,1,"Marcel Proust, say, has tea with these bananas",
march,QUADRUPLETIME,1,March is in this requiem Dal put out,
marching pace,QUICK TIME,1,"Marching pace of Mick, quite unusual",
marine expert,OCEANOLOGIST,1,Marine expert travelling to cooling sea,
marine predator,KILLERWHALE,1,Marine predator creates warlike hell,
mariner,SEADOG,1,Dosage ordered for mariner,
mariner dropped one,SILAS,1,Mariner dropped one in fixing sails,
mark,DISSATISFY,1,I'd say fists flying fail to hit the mark,
"mark, notably",SIGNALISE,1,"Mark, notably a single, is desperate",
marked,CHARACTERISED,1,Cash and credit are differently marked,
markswoman,ANNIE,1,Terribly inane markswoman,
marquis,DESADE,1,See Dad created a marquis,
marriage vows,ADULTERY,1,Upset at rudely breaking marriage vows,
married woman may keep,MAIDEN NAME,1,"Married woman may keep it – and demean man, I fancy",
marsh,MARESTAIL,1,Marsh plant providing a variety of materials,
marsupials,KANGAROOS,1,A rook sang about marsupials,
mass,AGNUSDEI,1,Idea sung about in part of Mass,
mastery,PREDOMINANCE,1,Worried Cameron pined for mastery,
mastic,LENTISK,1,Silk net made into mastic,
mathematical statement,EQUATION,1,"Mathematical statement in a quote, perhaps?",
mathematician,SIRISAACNEWTON,1,Mathematician saw reactions in a new way,
maths book,EQUATIONS,1,Unusual quotes in a maths book?,
maths classes,CUISENAIRE RODS,1,Aids in RE course? Wrong — they are used in maths classes,
matting would surely defeat me,TAP-DANCER,1,Weaving carpet and matting would surely defeat me,
maximum effort,BESTSHOT,1,Played both sets with maximum effort,
may boost performance,STEROID,1,Training or diets that may boost performance?,
may cause ripples,AGITATIONS,1,To sit again may cause ripples,
may cover reproductive organs,PETALS,1,Palest pants – they may cover reproductive organs,
may include many boxes,WOODLANDS,1,Rebooted downloads that may include many boxes,
may seem inappropriate,EDUCATION,1,To a dunce I may seem inappropriate,
may think himself napoleon,BONAPARTE,1,One tap bar drunk may think himself Napoleon,
mckellen,IAN,1,McKellen possibly in a play,
mdma consignment,TABLETS,1,Battels misused for MDMA consignment?,
me darlin,MAVOURNEEN,1,Roman venue arranged for me darlin',
mead,HYDROMEL,1,My Lord! He brewed mead!,
meal,TABLE D&#039;HOTE,1,Drunk bloated with the set meal,
mean euphemistically,ECONOMICAL,1,Mean euphemistically a lone comic turn,
mean losing one's grip,WHEELSPIN,1,Piles when treated can mean losing one's grip,
mean spirited,DOGINTHEMANGER,1,Mean spirited type might need organ replaced,
means,STENCIL,1,"Means of creating letters, say, clients reproduced",
measured,METRICAL,1,Measured and mixed rice with malt,
measures compactness,DENSIMETER,1,Determines change and measures compactness,
meat fit,HALAL,1,Meat fit for Allah?,
mechanic,TRADESMAN,2,Engineer and master mechanic?,
mechanical,AILERON,1,Mechanical flap operating one rail,
mechanical means,ARTIFICIALLY,1,Rail facility dismantled using mechanical means,
mechanics,ARTISANS,1,... as trains served by mechanics,
med,ADRIATICSEA,2,Acid satire represented a part of the Med,
meddling,NONINTERVENTION,1,No Verne? No Tintin comic? No meddling!,
media people who,EDITORS,1,Media people who tried so unfortunately,
medical agent,DISINFECTANT,1,Fast incident involved medical agent,
medical condition,ERYSIPELAS,1,Realise spy treated medical condition,
medical expert,ENDOCRINOLOGIST,1,Medical expert upset doctors in legion,
medical knowhow,NEUROSCIENCE,1,"Medical knowhow cures niece? No, sadly!",
medical practice,OSTEOPATHY,1,Hope to stay involved in medical practice,
medicine,RESTORATIVE,1,Overrates it as a medicine,
medicine once,LEECHCRAFT,1,Claret chef ordered as medicine once,
medicines,TONICS,1,Medicines that vary in cost,
medieval contests,TOURNEYS,1,Rusty one revised for medieval contests,
mediterranean,CYPRIOTE,1,Mediterranean islander represented in Troy epic,
mediterranean,ALGIERS,1,Mediterranean city is large resort,
mediterranean,RHODES,1,Unruly hordes in the Mediterranean,
mediterranean location,SARDINIA,1,Rain said to spread in Mediterranean location,
mediterranean meal,POLENTA,1,Mediterranean meal dished out on plate,
mediterranean port,BRINDISI,1,Strange bird is in Mediterranean port,
medium,OILPAINTS,1,Medium is plain to fancy,
medium,OILS,1,Lois becomes a medium,
medium substance,ECTOPLASM,1,Medium substance disturbs poet's calm,
meeting,HOTDATE,1,Hated to change potentially exciting meeting,
melancholy,LACHRYMOSE,1,Melancholy rhymes with cola surprisingly,
melodious,ORPHEAN,1,Melodious harp one played,
members,TORIES,1,Members sortie out,
memento mori,HEADSTONE,1,Death's one sad memento mori,
memorable impression,ENGRAM,1,Memorable impression of German comic,
memorable score,HANDELSLARGO,1,Len's goal hard to convert - but it's a memorable score,
memorial recollecting,WREATH,1,Memorial recollecting the war,
menacingly,OMINOUSLY,1,"I’m US loony, going wild menacingly",
mensa member,INTELLECTUALIST,1,"Mensa member, perhaps, titillates Uncle Dicky",
menu,TABLE DHOTE,1,"Loathe debt, so ordered set menu",
menu,SPECIAL,1,Battered plaice's a dish not on the menu,
merciless fox,CUTTHROAT,1,Merciless fox to hurt cat,
mere taster,SUBSTANTIALMEAL,1,All must be sat in a play that's not a mere taster,
meryl,STREEP,1,Peter's involved with Meryl,
mesmerise people,ENTHRALL,1,Rent hall in order to mesmerise people,
message,ACROSTIC,1,Deciphered Socratic composition with hidden message,
metallic fabric,GOLDMESH,1,Hold gems ordered for metallic fabric,
meteorologist,WEATHERCASTER,1,Meteorologist recreates thaw after storm,
method,SHORTWAVE RADIO,1,How Soviet radar misused a broadcast method,
methodical italian,MONTESSORI,1,Rome isn't so chaotic for a methodical Italian,
methodically examine,ANALYSE,1,"Methodically examine rough lane, say",
metric units,LITRES,1,Metric units Lister worked with?,
metrical,ICTUS,1,Metrical stress is cut out,
metropolis,EASTSIDE,1,Ideas set out in part of the metropolis,
metropolitan,EPARCH,1,Metropolitan to preach revolution,
mexican,MARIACHIS,1,"Mexican ensembles have charisma, I fancy",
mexican ready,PESOS,1,Mexican ready to assemble posse,
mickey-taking,PERSIFLAGE,1,A prig feels awkward at mickey-taking,
microwave,MAGNETRON,1,Microwave part (foreign – not German),
midday sun,BROADDAYLIGHT,1,Mad dog had a trilby for the midday sun?,
middle,DUODENUM,1,Awkward mound due to something in the middle,
middle east,THEREDSEA,1,Arrange dates here in the Middle East,
middle easterner once,SUMERIAN,1,"Middle Easterner once in Suriname, travelling",
middle here,TRENTBRIDGE,1,Better grind out time in the middle here?,
middle point,EPICENTRE,1,Recent pie cooked over middle point,
middleman,AGENT,1,Get an order for the middleman,
midlands town,LEAMINGTONSPA,1,Midlands town exceptionally pleasing to man,
migratory natural impulse,CONATUS,1,Toucan's migratory natural impulse,
military,SNAFU,1,Military chaos as fun breaks loose,
military campaign,ENDURINGFREEDOM,1,Frenzied men rode and fired gun in military campaign,
military duty,SENTRYGO,1,The Greys not involved in this military duty,
military group,SECTION,1,Notices deployed military group,
military position,CASHIERING,1,"Reach GIs in disarray, moving from military position",
military stores,ARSENALS,1,SEALs ran amok in military stores,
military unit,ARMYCORPS,1,Carry mops to refurbish military unit,
milk,WEAN,1,A new fancy to have a change from milk,
milk product,YOGHURT,1,Kinky orgy with UHT milk product,
mimed,ACTEDOUT,1,"Mimed to a T, cued badly",
mind my own business,PSYCHOANALYST,1,Shan't play with cosy arrangement — mind my own business,
mineral,SODA WATER,1,Mineral producing road waste?,
mineral deposits,STALAGMITES,1,"At times, lags repurposed mineral deposits",
ministers collectively,PRIESTHOOD,1,Dire photos misrepresented ministers collectively,
minor set-to,SKIRMISH,1,Shifting him risks a minor set-to,
minority group members hide,ETHNICS,1,Minority group members hide in chest,
minute investigator,MICROSCOPE,1,Minute investigator of comic prose,
minute particles,ATOMISE,1,"""A - M = E"" is the formula to produce minute particles",
misanthrope having,HATER,1,Misanthrope having change of heart,
miscellaneous objects piled up,CONGLOMERATION,1,"Locating no more rubbish, miscellaneous objects piled up",
misinformed,TOLDALIE,1,"Misinformed, I led a lot astray",
"mislaid, lacking responsibility",NONCOMPOSMENTIS,1,"Components Simon mislaid, lacking responsibility",
missed,UNLAMENTED,1,Badly made tunnel not missed,
missile,CUSTARDPIE,1,Missile thrown in car dispute?,
missile installation,LAUNCH SITE,1,UN's ethical bombing for missile installation,
missing milk,NON-DAIRY,1,Missing milk? It could be thrown into yon drain!,
mississippi,OLD MAN RIVER,1,Land Rover I'm reassembling in Mississippi,
misunderstanding,THE WRONG END OF THE STICK,1,Misunderstanding Doc's week – then fortnight – off?,
mixer,SODA WATER,1,Mixer was dear to supply,
mixers,CLUBSODAS,1,Could Bass be brewed for mixers?,
mobs,ROUTS,1,Tours designed for mobs,
moderate,SOFTPEDAL,1,Moderate version of Delft soap,
modern contacts,EMAILS,1,Modern contacts from Sliema,
modest catch,SPRAT,1,Dicky traps a modest catch,
modest opening,TOEHOLD,1,Modest opening do hotel arranged,
mollycoddling,PAMPERING,1,Mollycoddling sick man with grippe,
moment,FORTHETIMEBEING,1,"Brew home beer, fitting at the moment",
momentous,EARTH-SHATTERING,1,Momentous things are threat somehow,
momentous,EARTHSHATTERING,1,"Momentous thing, heart rate's disturbed",
monarch,REGAL,1,Large changes for a monarch?,
monarchies,SOVEREIGN STATES,1,Monarchies asserting vetoes abroad,
money given back,REBATE,1,Money given back for a beret needing repair,
money official,PAYMASTER,1,Money official distressed at ramp? Yes,
money once,GUILDERS,1,Barking girl sued for money once,
monitored,TAGGED,1,Monitored unusual gadget,
monitoring,SURVEILLANCE,1,Monitoring lives with unclear broadcast,
monotony,DREARINESS,1,Nerds arise! Break the monotony,
monsters,LEVIATHANS,1,Monsters on the loose as teal vanish?,
monsters,CHIMERAS,1,Monsters scare him off,
monstrous,HEINOUS,1,Monstrous bats in house,
"monstrous, monstrous",REPULSIVE,1,"Pure evil's monstrous, monstrous",
monumental issue,THEELGINMARBLES,1,Monumental issue? Perhaps Athens regime'll b-- off!,
mood booster,ENDORPHIN,1,Swimming in her pond is a mood booster,
mood-modifying drug,ETHANOL,1,Let Noah produce mood-modifying drug,
mooring,STAITHE,1,Mooring for atheist at sea,
moral primer,BESTIARY,1,Moral primer replaced by satire,
morale-boosting,UPLIFTING,1,Morale-boosting tip in Gulf manoeuvres,
moralising,SCOUTINGFORBOYS,1,Moralising work of Corbyn is trashed with gusto,
moravians,UNITED BRETHREN,1,Moravians interbreed and hunt excitedly,
more,UTOPIAN,1,More possibly awful pain after moving out,
more careful,CAGIER,1,"Grace, I suspect, is more careful",
more patchy,BLOTCHIER,1,"Mix lice with broth, as more patchy",
more rapidly,SWIFTER,1,"Amazingly, few stir more rapidly",
more relaxing,COMFIER,1,"More relaxing, shifting from ice",
more robust,LUSTIER,1,"Result, I suspect, more robust",
more smoothly,LUBRICANT,1,Train club in new way that makes things go more smoothly,
more than one,BRAINTEASERS,1,More than one problem arises with banter that's out of order,
more than one central,NUCLEI,1,More than one central part in clue to be solved,
more than one drop,TEARS,1,More than one drop in high rates,
more than one opposite,ANTITHESES,1,More than one opposite that is seen differently,
morecambe bay,ARNSIDE,1,Cooked sardine by Morecambe Bay,
morning,GREETING,1,"""Morning"" from Grieg: ten pieces",
morning practice,ANGLICANISM,1,Fancy a sing in calm Sunday morning practice?,
morrison's group,THEDOORS,1,Morrison's Group HO stored bananas,
mosaic,TESSELLATED,1,Mosaic sale settled after a fashion,
moseyed along,TRAIPSED,1,A striped comic moseyed along,
most,SPARSEST,1,Most scattered in criminal trespass,
most,TENDEREST,1,Most easily broken trees tend to break,
most,TRENDIEST,1,Most in street upset about awful din,
most ardent,HOTTEST,1,Unruly tot's the most ardent,
most arousing,STEAMIEST,1,"Rough estimates, most arousing",
most basic,SIMPLEST,1,Most basic work misspelt,
most dangerous,DEADLIEST,1,Most dangerous diet leads to collapse,
most depressing,DREARIEST,1,Fitful rise in foreign trade is most depressing,
most dishonest,SNIDEST,1,Smashing dissent is most dishonest,
most distant points,ANTIPODES,1,"Most distant points, as pointed out",
most filthy,GRIMIEST,1,"Most filthy is it, with germ spreading?",
most former,EARLIEST,1,Most former ateliers rebuilt,
most important,ALPHA AND OMEGA,1,Most important features of a man a gal hoped to change,
most intense colour,BLUEST,1,Subtle changes in most intense colour,
most marked,SMEARIEST,1,Most marked armies set off,
most prickly,THORNIEST,1,Terribly inert host becoming most prickly,
most regular,STEADIEST,1,Most regular tastes die out,
most sharp,TANGIEST,1,"Special agents with it, most sharp",
most succinct,TERSEST,1,Setter's construction is most succinct,
most tasteful,DELICIOUS,1,"Most tasteful cryptic clue is ""I do""",
most unfocused,BLEARIEST,1,Management of Real Betis is most unfocused,
